SEXE,REG_NAF,data_type,category,NB_POSTES,REMU_TOT_ANNU
F,05_C,anciennete,E,641781,39693
F,06_F,anciennete,E,102256,40038
F,08_G,anciennete,E,1127479,31322
F,09_H,anciennete,E,383631,35600
F,10_I,anciennete,E,332944,23732
F,11_J,anciennete,E,257737,51575
F,12_K,anciennete,E,438794,52550
F,13_L,anciennete,E,103348,38250
F,14_M,anciennete,E,530051,47060
F,15_N,anciennete,E,898825,25802
F,17_O,anciennete,E,199798,34131
F,18_P,anciennete,E,36809,29063
F,19_Q,anciennete,E,1333563,26848
F,20_R,anciennete,E,85048,31476
F,21_S,anciennete,E,152552,27571
H,04_BDE,anciennete,E,264653,47484
H,05_C,anciennete,E,1828159,45686
H,06_F,anciennete,E,880977,37414
H,08_G,anciennete,E,1312588,39550
H,09_H,anciennete,E,905409,37125
